Well ID	NMSP E	NMSP N
R-01	647905.525	746225.951
R-02	647976.324	746154.963
R-03	648046.814	746084.337
R-04	647976.356	746013.793
R-05	647905.594	745942.885
R-06	647834.795	746013.873
R-07	647763.998	746084.498
R-08	647834.763	746155.042
R-09	647905.560	746084.418
I-01	647905.543	746155.002
I-02	647976.340	746084.378
I-03	647905.576	746013.833
I-04	647834.779	746084.458
O-01	647905.525	746225.951
O-02	648047.102	746155.287
O-03	648046.831	746013.752
O-04	647834.816	745942.197
O-05	647764.016	746013.549
O-06	647764.289	746155.084
O-07	647835.669	746224.904
M52-UBF	651364.942	747041.250
No ID	647141.120	742231.495
R-04	648001.214	740556.411
M16-GU(R)	647067.497	745020.286
Abandoned	647769.928	745530.842
M60-O	648051.211	745813.094
M61-LBF	648390.267	746117.850
M57-O	647592.294	746203.842
M20-0(R)	647057.071	747314.442
M59-O	653241.171	746241.564
M56-LBF	647708.920	746215.795
M55-UBF	647794.038	746216.185
Abandoned	647873.882	746250.911
MW-01-LBF	647699.136	746311.761
MW-01-O	647699.136	746311.761
M58-O	647883.125	746541.621
NN	651321.039	746601.402
M54-O	647621.957	746619.663
M54-LBF	647536.871	746619.274
